Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers,Units,
94f5ab47-ff56-4a37-8fd5-4b0bed595687,,,NON COMMUNICABLE DISEASE PROGRAM,,,NCD PROGRAM,,,Label for the non communicable disease program......,,,Misc,N/A,,,
1af9de80-6755-485e-82ec-e1fdc0cd18da,,MCL/CIEL:165095,GENERAL PATIENT NOTE,,,,,,General patient note,,,Question,Text,,,
