Uuid                                , Void/Retire, Same as mappings, Fully specified name:en , Fully specified name:fr    , Fully specified name:es , Short name:en   , Short name:fr   , Short name:es, Description:en                       , Description:fr , Description:es , Data class, Data type, Answers, Units,
2d4472e2-d7ab-4430-8e0e-a9ffcd809bf4,            ,   167411        , TRIAGE SERVICE,TRIAGE SERVICE,TRIAGE SERVICE,TRIAGE SERVICE,TRIAGE SERVICE,TRIAGE SERVICE ,TRIAGE SERVICE., TRIAGE SERVICE., TRIAGE SERVICE., Misc      , N/A      ,        ,      , 
7f7ec7ad-cdd7-4ed9-bc2e-5c5bd9f065b2,            ,           , CLINICAL CONSULTATION,CLINICAL CONSULTATION,CLINICAL CONSULTATION,CLINICAL CONSULTATION,CLINICAL CONSULTATION,CLINICAL CONSULTATION , CLINICAL CONSULTATION., CLINICAL CONSULTATION., CLINICAL CONSULTATION., Misc , N/A , , , 
7e4452bf-f9b7-4977-a21f-1c8b94831bac,            ,           , MCH TRIAGE SERVICE , MCH TRIAGE SERVICE,MCH TRIAGE SERVICE,MCH TRIAGE SERVICE,MCH TRIAGE SERVICE,MCH TRIAGE SERVICE , MCH TRIAGE SERVICE., MCH TRIAGE SERVICE., MCH TRIAGE SERVICE., Misc , N/A , , , 
0026e273-5f8c-46b5-8bb4-0d8301d50321,            ,           , MCH CLINICAL CONSULTATION , MCH CLINICAL CONSULTATION,MCH CLINICAL CONSULTATION,MCH CLINICAL CONSULTATION,MCH CLINICAL CONSULTATION,MCH CLINICAL CONSULTATION , MCH CLINICAL CONSULTATION., MCH CLINICAL CONSULTATION., MCH CLINICAL CONSULTATION., Misc , N/A , , , 
a8a09ac8-1350-11df-a1f1-0026b9348838,            ,           , OUTPATIENT SERVICES , OUTPATIENT SERVICES,OUTPATIENT SERVICES,OUTPATIENT SERVICES,OUTPATIENT SERVICES,OUTPATIENT SERVICES , OUTPATIENT SERVICES., OUTPATIENT SERVICES., OUTPATIENT SERVICES., Misc , N/A , , , 
5adeb9de-5545-4272-add4-a661005f727e,,,LABORATORY SERVICE,LABORATORY SERVICE,LABORATORY SERVICE,LABORATORY SERVICE,LABORATORY SERVICE,LABORATORY SERVICE,LABORATORY SERVICE,LABORATORY SERVICE,LABORATORY SERVICE,Misc,N/A,,,
