Concept,Member,Member type,Sort Weight
18072b35-2890-4514-8891-0796af2912be,a8945ac4-1350-11df-a1f1-0026b9348838,concept-set,1
18072b35-2890-4514-8891-0796af2912be,1f07fed1-033d-41fc-a0f4-30b06e230dc8,concept-set,2
18072b35-2890-4514-8891-0796af2912be,f80b6db8-45a5-43c1-a023-e54e73211bbb,concept-set,3
